Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,56092.000000,56900.000000,56092.000000,56501.949219,56201.710938,7335
2019-06-28,56799.000000,56800.000000,56346.851563,56609.601563,56308.789063,6063
2019-07-01,56840.000000,57147.949219,56513.000000,56758.851563,56457.246094,3293
2019-07-02,56758.851563,56974.199219,56182.000000,56667.601563,56366.480469,3549
2019-07-03,56700.000000,57075.351563,56615.250000,56806.648438,56504.792969,4265
2019-07-04,56810.000000,57000.000000,56301.148438,56539.449219,56239.011719,3757
2019-07-05,56540.000000,56714.101563,55750.000000,56003.148438,55705.558594,3876
2019-07-08,55712.000000,55712.000000,54402.851563,54776.250000,54485.175781,6867
2019-07-09,54893.000000,54900.000000,53980.000000,54571.199219,54281.226563,6050
2019-07-10,54572.000000,55400.000000,54555.550781,55196.898438,54903.593750,5225
2019-07-11,55001.000000,56528.449219,54696.000000,56163.898438,55865.457031,4222
2019-07-12,56148.000000,56291.800781,55680.000000,56074.699219,55776.730469,3806
2019-07-15,55810.000000,56321.550781,55810.000000,56132.398438,55834.117188,4232
2019-07-16,55851.000000,56745.000000,55851.000000,56510.898438,56210.617188,3608
2019-07-17,56510.000000,56510.000000,55817.500000,56004.699219,55707.097656,4807
2019-07-18,56005.000000,56252.750000,55406.050781,55538.398438,55243.277344,3075
2019-07-19,55740.000000,55900.000000,53175.851563,53502.851563,53218.550781,8765
2019-07-22,53782.851563,54365.851563,53254.050781,54144.101563,53856.386719,3720
2019-07-23,54349.000000,54435.398438,53600.000000,53941.800781,53655.167969,3685
2019-07-24,54000.000000,54639.949219,53725.000000,54028.601563,53741.503906,5309
2019-07-25,54025.000000,54483.601563,53800.000000,54112.898438,53825.359375,4636
2019-07-26,54000.000000,54981.750000,54000.000000,54338.500000,54049.757813,2683
2019-07-29,54340.000000,54660.000000,53510.000000,53785.300781,53499.500000,7924
2019-07-30,53990.000000,54289.750000,53673.000000,53778.500000,53492.734375,4885
2019-07-31,53801.000000,53801.000000,52636.550781,53548.750000,53264.199219,5426
2019-08-01,53450.000000,53878.351563,53100.000000,53355.601563,53125.660156,5918
2019-08-02,53050.000000,54284.550781,52411.148438,53869.550781,53637.394531,5861
2019-08-05,53250.000000,53650.000000,52951.000000,53352.898438,53122.964844,3159
2019-08-06,53200.000000,54094.949219,53200.000000,53871.148438,53638.984375,2796
2019-08-07,54000.000000,54450.000000,53700.000000,53998.500000,53765.785156,4650
2019-08-08,54015.000000,54900.000000,54005.000000,54699.550781,54463.808594,2761
2019-08-09,54850.000000,57431.601563,54550.000000,57034.449219,56788.652344,21845
2019-08-13,56601.300781,57390.898438,56011.101563,56736.750000,56492.238281,7241
2019-08-14,56621.000000,57871.500000,56350.000000,57293.000000,57046.082031,8058
2019-08-16,57300.000000,58300.000000,56501.351563,56823.601563,56578.714844,5761
2019-08-19,57010.000000,57745.000000,57010.000000,57589.800781,57341.605469,4045
2019-08-20,57502.000000,57857.000000,57228.949219,57548.898438,57300.882813,3228
2019-08-21,57501.000000,57857.000000,57200.000000,57737.000000,57488.175781,3921
2019-08-22,57502.000000,57700.000000,56979.000000,57572.449219,57324.332031,5127
2019-08-23,57600.000000,58400.000000,56521.050781,57859.500000,57610.148438,5842
2019-08-26,58450.000000,59000.000000,57304.050781,58782.398438,58529.062500,5060
2019-08-27,58780.000000,59499.000000,58650.550781,58871.500000,58617.785156,4168
2019-08-28,58871.000000,59200.000000,57580.601563,57924.500000,57674.863281,3434
2019-08-29,57950.000000,57988.000000,57188.050781,57545.648438,57297.648438,2946
2019-08-30,57660.000000,58950.000000,57660.000000,58590.050781,58337.542969,4921
2019-09-03,58598.300781,58649.851563,57519.851563,57801.550781,57552.441406,3399
2019-09-04,57801.550781,58188.898438,57495.050781,57691.199219,57442.566406,3013
2019-09-05,57880.000000,58260.000000,57583.601563,57722.449219,57473.687500,2103
2019-09-06,58080.000000,58980.000000,57900.101563,58754.300781,58501.085938,2892
2019-09-09,58802.000000,59200.000000,58333.000000,58869.101563,58615.394531,2887
2019-09-11,58950.000000,60280.000000,58875.050781,60101.949219,59842.933594,6205
2019-09-12,60256.000000,61109.949219,60000.000000,60658.898438,60397.476563,7908
2019-09-13,60754.000000,60996.699219,59760.050781,60119.949219,59860.855469,7070
2019-09-16,59799.000000,59980.000000,59300.050781,59461.500000,59205.238281,2897
2019-09-17,59650.000000,59993.648438,57550.000000,57852.398438,57603.078125,5455
2019-09-18,58699.000000,58699.000000,58000.000000,58364.550781,58113.019531,4374
2019-09-19,58213.000000,58400.000000,57890.949219,58069.148438,57818.886719,2409
2019-09-20,58380.000000,65850.000000,58069.148438,64642.898438,64364.304688,25477
2019-09-23,64900.000000,67467.000000,64900.000000,66180.250000,65895.039063,16170
2019-09-24,66749.000000,67227.546875,65691.296875,65879.546875,65595.632813,8452
2019-09-25,65522.000000,65990.000000,64200.000000,64499.500000,64221.523438,6021
2019-09-26,64499.500000,65420.000000,62150.000000,62859.601563,62588.699219,20476
2019-09-27,62859.601563,63875.851563,62286.750000,62674.550781,62404.449219,7538
2019-09-30,62959.000000,63449.898438,62470.000000,63291.550781,63018.785156,4885
2019-10-01,63299.000000,63949.000000,60768.949219,61863.398438,61596.789063,9209
2019-10-03,61863.398438,62065.000000,61200.000000,61471.050781,61206.128906,5960
2019-10-04,61980.000000,61980.000000,60515.898438,60938.351563,60675.734375,4320
2019-10-07,60989.000000,61559.000000,60600.000000,61165.101563,60901.496094,3561
2019-10-09,61250.500000,61500.898438,60283.550781,61186.101563,60922.410156,6263
2019-10-10,61200.000000,61389.000000,60736.851563,61174.000000,60910.359375,3047
2019-10-11,61250.000000,61887.550781,61050.000000,61722.699219,61456.695313,4974
2019-10-14,61723.000000,62717.550781,61641.351563,61996.648438,61729.464844,4294
2019-10-15,62150.000000,63297.898438,61772.000000,63027.500000,62755.871094,4999
2019-10-16,63030.000000,63615.949219,62629.449219,62896.898438,62625.828125,3660
2019-10-17,62896.000000,65711.601563,62656.000000,64901.898438,64622.199219,7039
2019-10-18,64900.000000,65086.949219,63800.000000,64019.750000,63743.839844,4473
2019-10-22,64394.949219,64749.898438,64030.050781,64211.300781,63934.570313,3206
2019-10-23,64288.000000,64542.949219,63866.449219,64321.300781,64044.105469,5771
2019-10-24,64650.000000,64700.000000,63055.000000,63480.199219,63206.621094,8461
2019-10-25,63830.000000,63980.000000,63025.351563,63285.601563,63012.859375,5263
2019-10-27,63749.000000,63749.000000,63011.851563,63324.351563,63051.437500,534
2019-10-29,63579.000000,65600.000000,63334.148438,65171.148438,64890.281250,10839
2019-10-30,65250.000000,65450.000000,64103.449219,64893.300781,64613.632813,5400
2019-10-31,65200.000000,66300.000000,65105.101563,65673.750000,65390.722656,7189
2019-11-01,65990.000000,66495.601563,64684.398438,64965.800781,64685.812500,7154
2019-11-04,65301.000000,65709.953125,64200.000000,64440.351563,64162.632813,5008
2019-11-05,64738.000000,65200.851563,63231.398438,63855.750000,63580.550781,5484
2019-11-06,63880.000000,64163.148438,63365.050781,63637.750000,63363.496094,3245
2019-11-07,63755.000000,63921.898438,63310.050781,63522.601563,63248.839844,2116
2019-11-08,63681.398438,65490.000000,62855.699219,64454.449219,64176.675781,15991
2019-11-11,64001.000000,64100.000000,62950.000000,63085.199219,62813.320313,7175
